1,١ - الفاتحة
2,٢ - البقرة
3,٣ - آل عمران
4,٤ - النساء
5,٥ - المائدة
6,٦ - الأنعام
7,٧ - الأعراف
8,٨ - الأنفال
9,٩ - التوبة
10,١٠ - يونس
11,١١ - هود
12,١٢ - يوسف
13,١٣ - الرعد
14,١٤ - إبراهيم
15,١٥ - الحجر
16,١٦ - النحل
17,١٧ - الإسراء
18,١٨ - الكهف
19,١٩ - مريم
20,٢٠ - طه
21,٢١ - الأنبياء
22,٢٢ - الحج
23,٢٣ - المؤمنون
24,٢٤ - النور
25,٢٥ - الفرقان
26,٢٦ - الشعراء
27,٢٧ - النمل
28,٢٨ - القصص
29,٢٩ - العنكبوت
30,٣٠ - الروم
31,٣١ - لقمان
32,٣٢ - السجدة
33,٣٣ - الأحزاب
34,٣٤ - سبإ
35,٣٥ - فاطر
36,٣٦ - يس
37,٣٧ - الصافات
38,٣٨ - ص
39,٣٩ - الزمر
40,٤٠ - غافر
41,٤١ - فصلت
42,٤٢ - الشورى
43,٤٣ - الزخرف
44,٤٤ - الدخان
45,٤٥ - الجاثية
46,٤٦ - الأحقاف
47,٤٧ - محمد
48,٤٨ - الفتح
49,٤٩ - الحجرات
50,٥٠ - ق
51,٥١ - الذاريات
52,٥٢ - الطور
53,٥٣ - النجم
54,٥٤ - القمر
55,٥٥ - الرحمن
56,٥٦ - الواقعة
57,٥٧ - الحديد
58,٥٨ - المجادلة
59,٥٩ - الحشر
60,٦٠ - الممتحنة
61,٦١ - الصف
62,٦٢ - الجمعة
63,٦٣ - المنافقون
64,٦٤ - التغابن
65,٦٥ - الطلاق
66,٦٦ - التحريم
67,٦٧ - الملك
68,٦٨ - القلم
69,٦٩ - الحاقة
70,٧٠ - المعارج
71,٧١ - نوح
72,٧٢ - الجن
73,٧٣ - المزمل
74,٧٤ - المدثر
75,٧٥ - القيامة
76,٧٦ - الإنسان
77,٧٧ - المرسلات
78,٧٨ - النبإ
79,٧٩ - النازعات
80,٨٠ - عبس
81,٨١ - التكوير
82,٨٢ - الانفطار
83,٨٣ - المطففين
84,٨٤ - الانشقاق
85,٨٥ - البروج
86,٨٦ - الطارق
87,٨٧ - الأعلى
88,٨٨ - الغاشية
89,٨٩ - الفجر
90,٩٠ - البلد
91,٩١ - الشمس
92,٩٢ - الليل
93,٩٣ - الضحى
94,٩٤ - الشرح
95,٩٥ - التين
96,٩٦ - العلق
97,٩٧ - القدر
98,٩٨ - البينة
99,٩٩ - الزلزلة
100,١٠٠ - العاديات
101,١٠١ - القارعة
102,١٠٢ - التكاثر
103,١٠٣ - العصر
104,١٠٤ - الهمزة
105,١٠٥ - الفيل
106,١٠٦ - قريش
107,١٠٧ - الماعون
108,١٠٨ - الكوثر
109,١٠٩ - الكافرون
110,١١٠ - النصر
111,١١١ - المسد
112,١١٢ - الإخلاص
113,١١٣ - الفلق
114,١١٤ - الناس
